enrichm,p_higher_orig,p_lower_orig,PI_value,cell_1,cell_2
-2.70879022909499,1,0,-5.41758045818997,Other,Tumor
-2.36499681677925,1,0.01,-4.01805865205811,CTL,Other
-1.74438306572869,1,0.03,-2.43854287803212,APC,Tumor
-1.27159641933722,1,0,-2.54319283867444,Helper T-Cell,Tumor
1.05901041667537,0,1,2.11802083335074,Other,Other
1,0.87,1,0.0555173278498314,Helper T-Cell,Helper T-Cell
-1,1,0.97,-0.00877392430750515,APC,CTL
-1,1,0.95,-0.0177287669604316,APC,Helper T-Cell
0.835369298227201,0.12,1,0.740184519972984,APC,Other
0.742803249896411,0,1,1.48560649979282,Tumor,Tumor
0.329839485873367,0.15,0.92,0.262512655737656,Helper T-Cell,Other
0.281286110390017,0.28,0.91,0.151219976108888,CTL,Tumor
-0.137503523749935,1,0.99,0,CTL,Helper T-Cell
0,1,1,0,CTL,CTL
